Model,Accuracy_Test,Accuracy_Train,Precision_Test,Precision_Train,Recall_Test,Recall_Train,F1_Test,F1_Train
LGBM,0.9026240262402624,0.9442138171381714,0.9027324632952692,0.9412304398797084,0.903469387755102,0.947460236018471,0.9031007751937984,0.9443350635403616
Logistic_Regression,0.7736777367773677,0.7733189831898319,0.7735577910080066,0.7723444438772906,0.7732403037143444,0.7752728390633806,0.7733990147783251,0.7738058709215506
D_Tree_Classifier,0.8995489954899549,0.9500820008200082,0.9190163239347042,0.9556075982305492,0.8787755929454693,0.9437220537595724,0.8984455958549222,0.949627637567232
Random Forest,0.9039565395653956,0.9444444444444444,0.9061728395061728,0.939735200121747,0.9015353121801432,0.949756472699308,0.9038481272447408,0.9447192615635676
XGBClassifier,0.9251742517425174,0.9883148831488316,0.9470600998047298,0.9894331879969224,0.8998144712430427,0.9872050770254364,0.922832980972516,0.988317876722857
Stacking,0.9186141861418614,0.9754766297662977,0.9175891758917589,0.9729936305732484,0.9194741166803615,0.9781272410613666,0.9185306792530268,0.9755536822745037
